DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z,Time,SearchTime,MenuTime,ErrorCount
Momote,6,331,2,1,Phone,Bottom,Far,8217.732,7151.64,1066.092,0
Momote,6,332,2,2,Phone,Back,Normal,6231.377,5464.94,766.437,0
Momote,6,333,2,3,Phone,Left,Far,11997.074,11264.75,732.324,0
Momote,6,334,2,4,Phone,Right,Normal,5130.006,4531.821,598.185,0
Momote,6,335,2,5,Phone,Top,Far,10034.307,9335.014,699.293,0
Momote,6,336,2,6,Phone,Left,Normal,4831.719,4031.851,799.868,0
Momote,6,337,2,7,Phone,Bottom,Normal,3364.713,2765.122,599.591,0
Momote,6,338,2,8,Phone,Right,Far,10697.669,9731.892,965.777,0
Momote,6,339,2,9,Phone,Right,Close,5365.795,4532.48,833.315,0
Momote,6,340,2,10,Phone,Left,Close,5746.804,4981.298,765.506,0
Momote,6,341,2,11,Phone,Top,Normal,6398.119,5798.833,599.286,0
Momote,6,342,2,12,Phone,Bottom,Close,4467.205,3362.265,1104.94,0
Momote,6,343,2,13,Phone,Back,Far,8597.456,7963.937,633.519,0
Momote,6,344,2,14,Phone,Back,Close,3998.04,3397.719,600.321,0
Momote,6,345,2,15,Phone,Top,Close,4964.336,4332.996,631.34,0
Momote,6,346,2,16,Phone,Bottom,Normal,3700.922,3101.343,599.579,0
Momote,6,347,2,17,Phone,Right,Close,3747.452,2781.957,965.495,0
